CodigoLicitacion;Correlativo;Categoria;CodigoProducto;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057532-123-CO25;1;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;SERVICIO DE INFORMES: INTERPRETACIÓN Y DIAGNÓSTICO DEL MONITOREO AMBULATORIO DE PRESIÓN ARTERIAL (HOLTER DE PRESIÓN ARTERIAL) POR VÍA TELEMÁTICA, CON ARRIENDO DE EQUIPOS PARA 17 ESTABLECIMIENTOS DE APS DE LA PROVINCIA DE OSORNO,   AÑOS 2025 - 2026;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;1;Ropa, maletas y productos de aseo personal / Artículos de baño o tocador / Artículos de baño y cuerpo;53131618;Utensilios de pedicura;1. ADQUISICIÓN DE INSUMOS DE PODOLOGÍA PARA LA ATENCIÓN DE DISTINTOS PROGRAMAS DE LA ATENCIÓN PRIMARIA, según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;2;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Unidades de presión sanguínea y productos relacionados;42181608;Accesorios de instrumental de medición de la tensión arterial;2. ADQUISICIÓN DE INSUMOS DE HIGIENE Y CONFORT PARA USUARIOS CON DEPENDENCIA SEVERA, Según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;3;Ropa, maletas y productos de aseo personal / Maletas, bolsos de mano, mochilas y estuches / Maletas;53121501;Bolsos;3. ADQUISICIÓN DE BOLSO PARAMÉDICOS, según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;4;Equipamiento y suministros médicos / Ayuda para personas con discapacidad / Artículos de ayuda para el baño de discapacitados;42211610;Sillas o asientos de baño o ducha para personas con discapacidad física;4. ADQUISICIÓN DE BAÑO PORTÁTIL, según especificaciones técnica solicitada.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;5;Equipamiento y suministros médicos / Productos quirúrgicos / Suministros quirúrgicos auxiliares;42295437;Sets o armarios de utensilios quirúrgicos o accesorios;5. ADQUISICIÓN DE FANTOMA, según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;6;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Instrumentos musicales, piezas y accesorios / Piezas y accesorios de instrumentos musicales;60131504;Diapasón;6. ADQUISICION DE EQUIPO SENSORIAL DIAPASÓN, según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;7;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Estetoscopio y artículos relacionados;42182103;Estetoscopio mecánico o accesorios;7. ADQUISICION DE ESTETOSCOPIO/FONENDOSCOPIO PEDIATRICO, según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;8;Equipamiento y suministros médicos / Productos medicinales para deportes, prostéticos y ortopédicos / Productos ortopédicos blandos para la extremidad inferior;42241706;Ortóticos o productos para el cuidado del pie;8. ADQUISICIÓN DE PODOSCOPIO, según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;9;Equipamiento y suministros médicos / Productos para el cuidado de heridas / Productos para la limpieza de heridas y desbridamiento;42312301;Absorbedores para limpiar la herida;9. INSUMOS MÉDICOS PARA PROGRAMAS RESIDENCIALES Y AMBULATORIOS, según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;10;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Oxímetros de pulso;42181803;Sondas o sensores de oxímetros de pulso;10. IMPLEMENTOS CLÍNICOS PARA ATENCIÓN EN BOX Y VISITAS DOMICILIARIAS CDR KUMELEN, según especificaciones técnicas solicitadas.;Unidad;1.0;;;0.0;0.0
1057532-116-LE25;11;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Unidades de presión sanguínea y productos relacionados;42181608;Accesorios de instrumental de medición de la tensión arterial;11. IMPLEMENTOS CLÍNICOS PARA ATENCIÓN EN BOX Y VISITAS CDR AYANCAN, segun especificaciones tecnicas solicitadas.;Unidad;1.0;;;0.0;0.0
