CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-36-COT26;14111537;Papel de etiquetas;70 rollos Etiquetas IMPRESORA Zebra ZD220, adjunta imágenes y dimensiones;70;EA
1057532-36-COT26;31201522;Cinta de transferencia adhesiva;40 rollos de cinta de transferencia térmica IMPRESORA Zebra ZD220, adjunta imágenes y dimensiones;40;EA
1057532-36-COT26;31201522;Cinta de transferencia adhesiva;40 rollos térmicos impresora voucher, Zebra ZD421, adjunta imágenes y dimensiones;40;EA
1057532-41-COT26;52151504;Tazas o vasos desechables domésticos;Vasos térmicos de cartón/para café 8 onzas/350 cc;1000;EA
1057532-41-COT26;52151617;Cucharas de madera de uso doméstico;Cucharas para café de madera;1000;EA
1057532-41-COT26;52121602;Servilletas;Servilletas pack de 100 ud;10;PK
1057532-41-COT26;52152015;Plato para pastel con cubierta de uso doméstico;Platos de cartón desechables 18 cm;20;EA
1057532-43-COT26;72102201;Instalación o servicio de sistemas de energía eléctrica;1 Servico eléctrico por instalación de enchufes casa PRAIS, según eett;1;EA
1057532-46-COT26;53121501;Bolsos;2 Bolsos de Respuesta para Oxigenoterapia de Alta Resistencia, segun eett adjuntas;2;EA
1057532-44-COT26;27113201;Conjuntos generales de herramientas;2  kit de herramientas es un aliado esencial para pequeñas reparaciones, segun eett;2;KIT
