CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-55-COT26;50201706;Café;Café Instantaneo 100 gramos.;5;JR
1057532-55-COT26;50201713;Bolsitas de te;Té en bolsitas (20 bolsitas por cada caja);5;BX
1057532-55-COT26;24111502;Bolsas de papel;Bolsa de Papel de 18 x 7 x 49.;100;EA
1057532-55-COT26;24111503;Bolsas de plástico;Bolsa de Plástico de 40 x 50.;100;EA
1057532-53-COT26;10151805;Semillas o almácigos de cilantro;Semillas de Verduras (cilantro, pepino, albahaca, acelga, ciboulette, lechuga, tomate, pepino, zanahoria, espinaca / 20 sachets de 5 mg. pos cada tipo de hortaliza).;200;SACH
1057532-53-COT26;10151704;Semillas o almácigos de hierba;Semillas medicinales (melisa, cardo mariano, diente de león, boldo, grosellero negro, tila, menta, poleo / 20 sachets de 5 mg. pos cada tipo de semilla).;160;SACH
1057532-53-COT26;10151901;Semillas, bulbos, almácigos o esquejes de tulipanes;Semillas de Flores (tulipanes, claveles, fresia, camelias / 20 sachet por cada tipo de flor).;80;SACH
1057532-53-COT26;10151808;Semillas o almácigos de tomillo;Semillas de Especias (oregano, tomillo, eneldo, llanten / 10 sachet por cada tipo de semilla);40;SACH
1057532-53-COT26;10171502;Hormonas para plantas;Sustrato de Coco.;2;EA
1057532-53-COT26;11111503;Tierra de hoja;Fertilizante para plantas salitre potásico. Bolsa 1 Kg.;3;BG
1057532-53-COT26;56101606;Maceteros;Macetero Plásico redondo 7 cm., chicos jardineras.;40;EA
1057532-54-COT26;31211507;Pinturas en aerosol;Spray diferentes colores (indicar en la cotización colores a ofertar. Según lo solicitado en las especificaciones).;10;EA
1057532-54-COT26;31211501;Pinturas al esmalte;Galón de Esmalte Sintético para Exteriores. Color Blanco.;2;A76
1057532-54-COT26;31211904;Brochas;Brocha.;5;EA
1057532-54-COT26;46181504;Guantes protectores;Guantes de Látex.;12;PR
1057922-9-COT26;42171608;Inmovilizadores de cabeza de servicios médicos de urgencia;KIT INMOVILIZACIÓN COMPUESTO POR: 01 TABLA ESPINAL O TABLA LARGA ADULTO 01 TABLA ESPINAL O TABLA LARGA PEDIÁTRICA 01 INMOVILIZADOR LATERAL DE CABEZA ADULTO 01 INMOVILIZADOR LATERAL DE CABEZA PEDIÁTRICO 01 COLLAR CERVICAL ADULTO 01 COLLAR CERVICAL PEDIÁTRICO 01 CORREA ARAÑA ADULTO 01 CORREA ARAÑA PEDIÁTRICO SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;KIT
1057922-7-COT26;42192210;Sillas de ruedas;SET SILLAS DE RUEDAS SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;KIT
1057532-58-COT26;26111702;Pilas alcalinas;4 Baterías alcalinas 9V;4;EA
1057532-58-COT26;26111702;Pilas alcalinas;6 Pilas de botón de litio  CR2032 (3V);6;EA
1057532-63-COT26;51102710;Antisépticos basados en alcohol o acetona;6 Alcohol Isopropilico - 6 botellas de 1 litro, para desinfección de paletas compresoras;6;EA
1057532-63-COT26;53131624;Toallitas húmedas;40 paquetes de Toallitas Desinfectantes;40;EA
1057532-63-COT26;47131803;Desinfectantes domésticos;240 paquetes de Toallas humedas	para uso en pacientes, sin alcohol.;240;EA
