CodigoCompraAgil;RutProveedor;RazonSocial;EsEMT;EstadoCotizacionID;EstadoCotizacionGlosa;ProveedorSeleccionado;MotivoSeleccion;CriterioSeleccion;FechaCreacion;FechaVigencia;ValorNeto;TotalImpuesto;MontoDespacho;MontoTotal;NombreImpuesto;PorcentajeImpuesto;DescripcionCotizacion;JustificacionInadmisibilidad;TotalProductosCotizados
1057532-69-COT26;78.043.087-7;SOCIEDAD COMERCIAL SAN JAVIER LIMITADA;1;;;;;;;;;;;;;;Cristales Bifocales organicos fotocromaticos, incluye capa antirreflejo. Cristales Rodenstock con Garantia de autenticidad. Incluye armazon a eleccion del paciente.;;1
1057532-69-COT26;76.812.350-0;OPTICA M Y V LTDA;1;;;;;;;;;;;;;;Se cotizaron cristales bifocales fotocromáticos según la receta con armazón incluido a elección del paciente los que podrá probarse en cualquiera de nuestras 2 sucursales ubicadas en la ciudad de Osorno.;;1
1057532-69-COT26;77.870.424-2;COMERCIALIZADORA EMILIANO TOLEDO E.I.R.L.;1;;;;;;;;;;;;;;Prueba de marco en local Osorno. Cristales de laboratorio fotocromático café o gris según disponibilidad. Material orgánico con filtro UV fabricados en laboratorio especializado.;;1
1057532-69-COT26;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;;;;;;;;;;;;;;Contáctanos al +56984874329 o al correo proyectos@isevenchile.cl;;1
1057532-66-COT26;77.807.565-2;SERVICIOS TURISTICOS SPA;1;;;;;;;;;;;;;;Se adjunta imagen referencial Entrega 5 días hábiles de emitida o de c Contacto Juan Carlos Reckmann V 992591995;;2
1077241-1-COT26;77.807.565-2;SERVICIOS TURISTICOS SPA;1;;;;;;;;;;;;;;Se cotiza lo solicitado Entrega 3 dias habiles de emitida o de c Contacto Juan Carlos Reckmann V 992591995;;4
1077241-1-COT26;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;;;;;;;;;;;;;;Contáctanos al +56984874329 o al correo proyectos@isevenchile.cl;;4
1077241-1-COT26;78.108.435-2;SERVICIOS INTEGRALES  J Y C SPA;1;;;;;;;;;;;;;;SE ENTREGA EN 1 DIA HABIL  FONO CONTACTO 996941195 / 955396365;;4
1077241-2-COT26;18.742.681-2;OSCAR EDUARDO GOYE CASTILLO;1;;;;;;;;;;;;;;PLAZO DE ENTREGA 1 DIA STOCK DISPONIBLE EN BODEGA EL DESPACHO ESTA INCLUIDO, SE ENTREGARA DONDE SE SOLICITE. CONTACTO OSCAR GOYE TELEF. 979056093;;4
1077241-2-COT26;76.638.967-8;PINTURAS MOTTA SPA;1;;;;;;;;;;;;;;El despacho de los productos se hará entre 24 y 48 horas después de recibir la OC. La persona encargada de la coordinación es Maritza Garrido mery@pinturasmotta.cl. +56996096393;;4
1077241-2-COT26;78.312.523-4;COMERCIALIZADORA MOZZAB SPA;1;;;;;;;;;;;;;;ENTREGA EN 3 DIAS;;4
1077241-2-COT26;77.614.864-4;MY PARTNER SPA;1;;;;;;;;;;;;;;Se adjunta cotización detallada, las marcas y fotos son referenciales en caso cambio por stock, teniendo en cuenta que su equivalente o similar son de igual calidad, puesto todo sobre piso servicio, sin costos adicionales. Plazoentrega4diasH.-;;4
1057532-68-COT26;78.043.087-7;SOCIEDAD COMERCIAL SAN JAVIER LIMITADA;1;;;;;;;;;;;;;;Cristales bifocales (cosmolit bifo)organicos blancos + antirreflejo. Incluye armazon a eleccion del paciente.;;1
1057532-68-COT26;77.870.424-2;COMERCIALIZADORA EMILIANO TOLEDO E.I.R.L.;1;;;;;;;;;;;;;;Se considera prueba de marcos en comuna Osorno, óptica local. Lente óptico orgánico con 100% filtro UV según receta adjunta. Consultas a emilianotoledo@lentesbiobio.cl +569 2722 2373;;1
1057532-68-COT26;76.812.350-0;OPTICA M Y V LTDA;1;;;;;;;;;;;;;;Se cotizaron cristales bifocales mas armazón el que podrá probarse y elegir el paciente en cualquiera de nuestras 2 sucursales en Osorno.;;1
1057532-68-COT26;77.983.469-7;MEDSALE SPA;1;;;;;;;;;;;;;;Producto según especificaciones receta. Eleccion de marcos en nuestra web con asistencia de un asesor por llamada telefonica.;;1
1057532-68-COT26;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;;;;;;;;;;;;;;Contáctanos al +56984874329 o al correo proyectos@isevenchile.cl;;1
1057532-68-COT26;78.158.096-1;IS INVERSIONES SPA;1;;;;;;;;;;;;;;Entrega 2-5 días hábiles ventas.is.inversiones@gmail.com Wsp: +569 6124 2542 Respondemos a la brevedad.;;1
