CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057922-11-COT26;42192207;Camillas de paciente o accesorios de camilla;CAMILLA EXAMEN SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;2;EA
1057922-11-COT26;42192210;Sillas de ruedas;SILLA DE RUEDAS SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;KIT
1057532-94-COT26;50161814;Dulces con azúcar o sustitutos;Azucar Blanca granulada 1 Kilo;4;BG
1057532-94-COT26;50221202;Cereales en barra;Caja de Barras de Cereal de 8 unidades Chocolate,frutos secos, miel, frutos rojos de 125 grs.;4;BX
1057532-94-COT26;50201706;Café;Tarro de Café 400 gramos;6;JR
1057532-94-COT26;50161510;Sacarina o sucralosa;Endulzante Stevia  400ml;2;VI
1057532-94-COT26;50181905;Galletas dulces o pastelitos;Galleta cereal fibra de cacao (135 g);24;EA
1057532-94-COT26;50201710;Té de hierbas;Caja de Té hierbas surtidas - 100 bolsas;1;BX
1057532-94-COT26;50201713;Bolsitas de te;Ceylán Premium 100;1;BX
1057532-94-COT26;50181909;Galletas saladas;Galleta Selz cracker 90g. Cada caja contiene 30 paquetes aprox.;30;EA
1057532-94-COT26;50181905;Galletas dulces o pastelitos;Galleta Choco chips 125g. Caja contiene 16 unidades aprox.;16;EA
1057532-94-COT26;50181905;Galletas dulces o pastelitos;Galleta de chocolate rellena 126 gr. Caja contiene 30 unidades aprox.;30;EA
