CodigoCompraAgil;IDDocumento;NombreDocumento
1057532-9-COT26;103010;ANEXO N°1.pdf
1057532-9-COT26;103011;ANEXO N°2.pdf
1057532-9-COT26;103012;ANEXO N°3.pdf
1057532-9-COT26;103013;Declaración Jurada Simple de Aceptación de Términos de Referencia.pdf
1057532-9-COT26;103014;DECLARACIÓN JURADA SIMPLE SOBRE INHABILIDADES.pdf
1057532-9-COT26;103015;ESPECIFICACIONES TECNICAS DOSIMETROS .pdf
1057532-9-COT26;103016;FORMULARIO N°1- IDENTIFICACION OFERENTE.pdf
1057532-11-COT26;687864;Especificaciones Técnicas - PARLANTE.docx
1057532-11-COT26;687865;Anexo Proveedor N°1.docx
1057532-12-COT26;126129;Especificaciones Técnicas - TOLDO.docx
1057532-12-COT26;126130;Anexo Proveedor N°1.docx
1057532-10-COT26;126210;Especificaciones Técnicas - MESA + SILLAS.docx
1057532-10-COT26;126211;Anexo Proveedor N°1.docx
