CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-87-COT26;41113306;Analizadores de cloro;Colorímetro de Bolsillo / Según Especificaciones adjuntas;1;EA
1057532-87-COT26;41113306;Analizadores de cloro;Reactivos de Cloro / Según Especificaciones adjuntas;4;PACK
1057532-87-COT26;41113306;Analizadores de cloro;Set de Verificación de Cloro / Según Especificaciones adjuntas;1;EA
1057532-92-COT26;52151617;Cucharas de madera de uso doméstico;Cuchara de madera 15 cm. aprox.;600;EA
1057532-92-COT26;52151502;Platos desechables domésticos;Plato desechable cartón 15 cm. diámetro.;300;EA
1057532-92-COT26;14111703;Toallas de papel;Toalla de papel 100 metros.;1;EA
1057532-92-COT26;14111705;Servilletas de papel;Servilleta (paquete de 100 unidades).;3;PK
1057532-92-COT26;50201713;Bolsitas de te;Té (caja de 100 bolsitas).;3;BX
1057532-92-COT26;50201706;Café;Café 400 gramos. Marca reconocida.;6;JR
1057532-92-COT26;50161509;Productos de edulcorantes o azúcares naturales;Azúcar formato kilo. Marca conocida.;6;KGM
1057532-92-COT26;50161509;Productos de edulcorantes o azúcares naturales;Endulzante liquido 350 ml. Tapa verde.;3;EA
1057532-92-COT26;50202310;Agua mineral;Agua Mineral 1,6 litros.;15;BO
1057532-92-COT26;50131701;Leche o productos de mantequilla;Leche formato de litro. Fecha de vencimiento mayor a 6 meses.;20;LTR
1057532-92-COT26;50101634;Fruta fresca;Naranja (buen calibre, madura, no maltratada);300;EA
1057532-92-COT26;50101634;Fruta fresca;Manzana (buen calibre, madura, no maltratada);300;EA
1057532-92-COT26;50221202;Cereales en barra;Barra de cereal, sabor manzana. Fecha de vencimiento mayor a 6 meses.;100;EA
1057532-92-COT26;50221202;Cereales en barra;Barra de cereal, sabor frutos rojos. Fecha de vencimiento mayor a 6 meses.;100;EA
1057532-92-COT26;50181905;Galletas dulces o pastelitos;Galletas dulces variedades, paquete de 115 - 120 gramos. Marca reconocida. Fecha de vencimiento mayor a 6 meses.;30;EA
1057532-92-COT26;50181909;Galletas saladas;Galletas saladas variedades, paquete de 116 - 120 gramos. Marca reconocida. Fecha de vencimiento mayor a 6 meses.;15;EA
1057532-92-COT26;52151504;Tazas o vasos desechables domésticos;Vaso Polipapel 250 cc.;600;EA
1057532-92-COT26;52151504;Tazas o vasos desechables domésticos;Vaso transparente 200 cc.;150;EA
1057532-92-COT26;50192110;Nueces o frutos secos;Mix frutos secos. (Similar Mix energía Brisnacks). Fecha de vencimiento mayor a 6 meses.;200;EA
