CodigoCompraAgil;IDDocumento;NombreDocumento
1077241-2-COT25;1235901;Formulario N°2 Detalle de la oferta.xlsx
1077241-2-COT25;1235902;ESPECIFICACIONES TÉCNICAS IMPRESCINDIBLES.docx
1077241-2-COT25;1235903;Formulario N°1 Identificacion del oferente.docx
1077241-5-COT25;1207426;Bases compra ágil.pdf
1077241-5-COT25;1207427;Formulario N°1.docx
1077241-5-COT25;1207428;Formulario N°2.docx
1057532-27-COT25;1190252;EXTINTOR - Especificaciones Técnicas .docx
1057532-27-COT25;1190253;Anexo Proveedor N°1.docx
1057532-28-COT25;552289;Rollos de PAPEL - Especificaciones Técnicas .docx
1057532-28-COT25;552290;Anexo Proveedor N°1.docx
