CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-128-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;20;EA
1057532-128-COT26;50192801;Empanadas, tartas y pies frescos;kuchen tamaño para 20 personas;1;EA
1057532-128-COT26;52151502;Platos desechables domésticos;platos desechables chicos (18 cm diámetro aprox.);30;EA
1057532-128-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;3;PK
1057532-128-COT26;50181909;Galletas saladas;galletas saladas (variedades).;6;PK
1057532-128-COT26;50221202;Cereales en barra;barras de cereal sabor frutos rojos.;20;EA
1057532-127-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;60;EA
1057532-127-COT26;50101634;Fruta fresca;Naranjas frescas.;35;EA
1057532-127-COT26;50101634;Fruta fresca;Manzanas frescas.;35;EA
1057532-127-COT26;50192801;Empanadas, tartas y pies frescos;Kuchen tamaño para 20 personas;1;EA
1057532-127-COT26;14111703;Toallas de papel;toalla de papel de 100 metros.;1;EA
1057532-127-COT26;52151502;Platos desechables domésticos;platos desechables chicos (18 cm diámetro aprox.);30;EA
1057532-127-COT26;50201709;Café instantáneo;tarro de café de 400 gramos.;1;JR
1057532-127-COT26;50201713;Bolsitas de te;caja de té de 100 unidades.;1;BX
1057532-127-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;3;PK
1057532-127-COT26;50181909;Galletas saladas;galletas saladas (variedades).;6;PK
1057532-127-COT26;50131701;Leche o productos de mantequilla;litro de leche.;1;LTR
1057532-126-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales, de marca reconocida). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;20;EA
1057532-126-COT26;50101634;Fruta fresca;Naranjas Frescas.;10;EA
1057532-126-COT26;50101634;Fruta fresca;Manzanas Frescas.;10;EA
1057532-126-COT26;52151504;Tazas o vasos desechables domésticos;vasos de polipapel de 250 cc.;100;EA
1057532-126-COT26;52151704;Cucharas domésticas;cucharas (aprox. 15 cm) – 1 bolsa de 100 unidades.;100;EA
1057532-126-COT26;50202310;Agua mineral;agua mineral de 1,6 litros.;2;BO
1057532-126-COT26;50161509;Productos de edulcorantes o azúcares naturales;kilo de azúcar (marca reconocida).;1;KGM
1057532-126-COT26;50201709;Café instantáneo;Café de 400 gramos.;1;JR
1057532-126-COT26;50161509;Productos de edulcorantes o azúcares naturales;endulzante líquido de 350 ml (tapa verde).;1;BO
1057532-126-COT26;50201713;Bolsitas de te;caja de té normal de 100 unidades.;1;BX
1057532-126-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;11;PK
1057532-126-COT26;50181909;Galletas saladas;galletas saladas (variedades).;4;PK
1057532-126-COT26;50192110;Nueces o frutos secos;mix de frutos secos (referencia: bolsas tipo mix energía Bri Snacks de 30 gramos).;50;EA
1057532-126-COT26;50131701;Leche o productos de mantequilla;litro de leche.;1;LTR
1057532-125-COT26;72102602;Instalación de ventanas, puertas o accesorios;Adquisición y servicio de instalación de tres (3) mallas mosquiteras para ventanas./ Según Especificaciones adjuntas.;3;EA
