CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057532-4079-AG25;1;90101700;Servicios de Viajes, alimentación, alojamiento y entretenimiento / Restaurantes y catering / Servicios de cafetería;90101701;Gestión de cafetería;Raciones para el dia 10.04.2025, en horarios de 10:30 a 11:00 horas aprox. lugar de la Actividad,. Auditorio del INACAP  considerar adjunto.;Servicio de Cafetería;100.0;;3500.0;0.0;0.0
1057532-4192-SE25;1;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;ADQUISICION 10 CUPOS RESIDENCIA PROTEGIDA DE ALTA COMPLEJIDAD PARA EL SERVICIO DE SALUD OSORNO EN LA CIUDAD DE OSORNO;ADQUISICION 10 CUPOS RESIDENCIA PROTEGIDA DE ALTA COMPLEJIDAD PARA EL SERVICIO DE SALUD OSORNO EN LA CIUDAD DE OSORNO;170.0;;65546.0;0.0;11142820.0
1057532-4143-SE25;1;15101500;Combustibles, lubricantes y anticorrosivos / Combustibles líquidos / Petróleo y derivados;15101505;Diesel;Convenio Suministro Petróleo Diésel para Calderas de Dispositivos Dependientes del Servicio de Salud Osorno// ED. MATTA (Kumelen).;COTIZACIÓN SEGÚN ADJUNTOS;700.0;;1043.0;0.0;730100.0
1057532-4076-AG25;1;11151700;Productos derivados de minerales, plantas y animales / Fibra, hilos e hilados / Hilos;11151704;Hilo acrílico;5 HILO ELASTICO DE SILICONA Y TRANSPARENTE PARA BISUTERIA 100 METROS 0,6 DE DIAMETRO.;;5.0;;1990.0;0.0;0.0
1057532-4076-AG25;2;52131700;Muebles, accesorios, electrodomésticos y productos electrónicos / Tratamientos de ventanas / Accesorios y ferretería para tratamiento de ventanas;52131704;Ganchos para cortinas;5 GANCHO MOSQUETON PLATEADO CON ARGOLLA 12X6 MM SET DE 10 UNIDADES C/U.;;5.0;;950.0;0.0;0.0
1057532-4076-AG25;3;11151500;Productos derivados de minerales, plantas y animales / Fibra, hilos e hilados / Fibras;11151508;Fibras de lana;70 UNIDADES DE LANA REGULAR X 2 HEBRAS DE 100 GRAMOS C/U ( VER COLORES EN ARCHIVO ADJUNTO);;70.0;;1250.0;0.0;0.0
1057532-4076-AG25;4;11151700;Productos derivados de minerales, plantas y animales / Fibra, hilos e hilados / Hilos;11151704;Hilo acrílico;69 HILO ENCERADO DE 100 GRAMOS C/U ( VER COLORES SEGUN ARCHIVO ADJUNTO );;69.0;;2200.0;0.0;0.0
1057532-4149-SE25;1;85122200;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;Línea 2: INSUMOS PARA ANALISIS DE GASES SANGUINEOS, CON ARRIENDO DE EQUIPO (HOSPITAL DE PURRANQUE);Línea 2:Controles de calidad para pruebas de gases sanguíneos.;2.0;;181600.0;0.0;363200.0
1057532-4149-SE25;2;85122200;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;Línea 2: INSUMOS PARA ANALISIS DE GASES SANGUINEOS, CON ARRIENDO DE EQUIPO (HOSPITAL DE PURRANQUE);Línea 2:Test pack para determinación de gases sanguíneos;2.0;;417800.0;0.0;835600.0
1057532-4113-TD25;1;12141900;Productos químicos industriales / Metales y gases / Elementos no metálicos y gases puros;12141904;Oxígeno O;S2.5 Arriendo de Equipos de ventilación mecánica invasiva, incluye canasta de insumos;S2.5 Arriendo de Equipos de ventilación mecánica invasiva, incluye canasta de insumos;1.0;;142953.0;0.0;0.0
1057532-4112-TD25;1;12141900;Productos químicos industriales / Metales y gases / Elementos no metálicos y gases puros;12141904;Oxígeno O;S2.4 Asistencia ventilatoria invasiva sin TENS//22 días marzo.;S2.4 Asistencia ventilatoria invasiva sin TENS//22 días marzo.;88.0;;61513.0;0.0;0.0
1057532-4112-TD25;2;12141900;Productos químicos industriales / Metales y gases / Elementos no metálicos y gases puros;12141904;Oxígeno O;S2.1 Asistencia ventilatoria NO Invasiva (AVNI)//22 días marzo;S2.1 Asistencia ventilatoria NO Invasiva (AVNI)//22 días marzo.;66.0;;18813.0;0.0;0.0
1057922-2-SE25;1;42201800;Equipamiento y suministros médicos / Productos para imágenes y de medicina nuclear / Artículos radiográficos de diagnóstico médico;42201806;Equipo médico de radiología y fluoroscopia (RF);-01 CABINA FOTOTERAPIA PARA MANOS Y PIES  -MARCA: DAAVLIN  -MODELO: M SERIES  -FABRICANTE: DAAVLIN  -AÑO DE FABRICACIÓN: 2025  -PAÍS DE FABRICACIÓN: USA  -FECHA DE ENTREGA MAXIMA: 45 DÍAS CORRIDOS.  -GARANTÍA TÉCNICA: 36 MESES.  -MANTENIEMIENTO PREVENTIVO : 1 MANTENCION ANUAL.  -SEGÚN ESPECIFICACIONES TÉCNICAS ADJUNTAS.;-01 CABINA FOTOTERAPIA PARA MANOS Y PIES  -MARCA: DAAVLIN  -MODELO: M SERIES  -FABRICANTE: DAAVLIN  -AÑO DE FABRICACIÓN: 2025  -PAÍS DE FABRICACIÓN: USA  -FECHA DE ENTREGA MAXIMA: 45 DÍAS CORRIDOS.  -GARANTÍA TÉCNICA: 36 MESES.  -MANTENIEMIENTO PREVENTIVO;1.0;;18442837.0;0.0;18442837.0
