CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057532-5068-AG25;1;41114500;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Instrumentos mecánicos;41114509;Tensiómetros;Toma de presión digital  Tipo de tensiómetro: Digital de Brazo Incluye Brazalete Universal HEM-RML31-B (22-42 cm)   Circunferencia Mínima del Brazalete: 22 cm   Circunferencia Máxima del Brazalete: 42 cm   Cantidad Total de Memorias: 14   Tipos de Mediciones: Presión Sistólica, Presión Diastólica  Bases técnicas adjuntas, imágenes referenciales.;TOMA PRESIÓN DIGITAL OMRON HEM 7142   Modelo: HEM-7142  Pantalla: Pantalla digital LCD  Rango de medición: Presión: 0 a 299 mmHg, Pulso: 40 a 180 latidos/min.  Precisión: Presión: ±3mmHg, Pulso: ±5% de la lectura mostrada;6.0;;49900.0;0.0;0.0
1057532-5068-AG25;2;42181800;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Oxímetros de pulso;42181801;Unidades de oxímetros de pulso;Saturómetro  Dispositivo médico de alta precisión que mide instantáneamente la saturación de oxígeno en sangre (SpO2) y la frecuencia cardíaca en tiempo real. Ideal para monitoreo doméstico, deportistas y control de condiciones espiratorias. Certificado internacionalmente y recomendado por profesionales de la salud.  Bases técnicas adjuntas, imágenes referenciales.;Oximetro De Pulso Choicemmed C2   Marca: ChoiceMMed  Modelo: MD300C2  Tipo: Oxímetro Saturometro  Autonomía: 30 horas.  Fabricación: Cojín PVC de alta calidad y válvula de resina.  SpO2  Rango: 70%-99%  Precisión: 80%-99%: ±2%, 70%-80%: ±3%;4.0;;29900.0;0.0;0.0
1057532-5068-AG25;3;41116200;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Suministros y equipos para tratamiento de enfermos;41116202;Monitores o medidores de colesterol;Dispositivo multifuncional diseñado para estudiar los niveles de glucosa en la sangre (glicemia), hemoglobina y colesterol. La medición de los valores de glucosa, hemoglobina y colesterol se basa en los cambios en el voltaje eléctrico causados por su reacción con el reactivo del electrodo en la tira reactiva. Características del medidor  de glucosa, colesterol y hemoglobina digital: Diseñado para medir múltiples parámetros de salud, abarcando desde niveles de glucosa hasta hemoglobina y colester;Kit medidor glucosa colesterol hemoglobina Easy Life GCHB Plus EASY LIFE GCHb PLUS es un dispositivo multifuncional diseñado para estudiar los niveles de glucosa en la sangre (glicemia), hemoglobina y colesterol.;2.0;;89900.0;0.0;0.0
1057532-5068-AG25;4;41115800;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Analizadores, accesorios y suministros clínicos y de diagnósticos;41115830;Analizadores de glucosa;Hemoglucotest Medidor de glucosa sin configuración, con un solo botón. Obtén resultados exactos en menos de 4 segundos  Indicador de rango objetivo que entrega claridad instantánea Sólo un botón para una fácil navegación  Cómoda sincronización. Incorpora medidor, aplicación y portal web.;Máquina para medir Glicemia. Características • El intuitivo indicador de rango objetivo proporciona tranquilidad visual: Puede individualizarse para satisfacer los objetivos personales de su terapia.;1.0;;29900.0;0.0;0.0
1057532-5068-AG25;5;42182000;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Espéculos y accesorios para auscultación médica;42182005;Oftalmoscopios o otoscopios o juegos de scopios;Otoscopio  Es una herramienta médica de alta precisión, diseñada para ofrecer una visualización clara y sin reflejos del  conducto auditivo y la membrana timpánica. Fabricado en Alemania con los más altos estándares de calidad, este otoscopio es una opción ideal tanto para profesionales de la salud como para estudiantes de medicina que buscan  fiabilidad y durabilidad en sus equipos de diagnóstico;Otoscopio Riester e-scope® con iluminación Halogena directa de   reflexión reducida.  Incluye estuche y 10 especulos.  Alimentación mediante 2 (dos) pilas alcalinas tamaño AA No  incluidas.;1.0;;84900.0;0.0;0.0
1057532-5068-AG25;6;41112200;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Instrumentos para medir temperatura y calor;41112213;Termómetros de mano;Termómetro digital clínico MT3001. Medición en 60 segundos, resultados claros y precisos, señal acústica, apagado  automático, memoria de la última lectura, libre de mercurio, auto-chequeo. Punta de Níquel (antialérgica). Permite medición Rectal, Oral y Axilar, Batería Reemplazable. El termómetro debe ser usado únicamente para medir la temperatura corporal. Debe respetarse el tiempo de medición, hasta que escuche la señal acústica. No exponer a mas de 60º. El termómetro nunca debe ser hervido.;Termómetro digital punta rígida. 100% libre de mercurio. Ultima memoria.  Señal acústica. Punta antialérgica de níquel. Indicador de batería baja. Batería   reemplazable. Rangos de 32ºC a 43,9ºC. Auto-test. Precisión de +/- 0,1ºC.;4.0;;3900.0;0.0;0.0
1057532-5068-AG25;7;41111500;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Instrumentos de medición de peso;41111501;Balanzas electrónicas de carga superior;La Balanza Mecánica de Piso Seca 750 es una opción robusta y confiable para entornos profesionales como gimnasios y centros de salud. Con capacidad para hasta 150 kg y una división de 1 kg, ofrece resultados precisos sin necesidad de pilas. Su construcción de acero con barnizado cubierto en polvo garantiza resistencia a golpes y ralladuras, mientras que la plataforma plástica antideslizante facilita la limpieza y proporciona seguridad. Equipada con una pantalla tipo esfera para una lectura clara;Robusta báscula mecánica de piso  Bonita y robusta: esta báscula causa una gran impresión en gimnasios y centros salud debido a su claro y puro diseño.  Capacidad:150 kg  División (g):1 kg, 1 kg  Dimensiones ( AxAxP):317 x 117 x 477 mm  Peso neto:3,5 kg;4.0;;99000.0;0.0;0.0
1057532-5492-SE25;1;44103200;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Máquinas y accesorios para registro de hora y asistencia en la oficina;44103201;Reloj de control;"“SERVICIO DE REGISTRO DE INFORMACIÓN DE CONTROL DE ASISTENCIA RELOJ CONTROL BIOLETRICO PARA EL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS DEPENDIENTES, POR 36 MESES"". BASE SAMU.";SERVICIO DE REGISTRO DE INFORMACION DE CONTROL DE ASISTENCIA RELOJ CONTROL;1.0;;80729.0;0.0;80729.0
1057532-5493-SE25;1;44103200;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Máquinas y accesorios para registro de hora y asistencia en la oficina;44103201;Reloj de control;"“SERVICIO DE REGISTRO DE INFORMACIÓN DE CONTROL DE ASISTENCIA RELOJ CONTROL BIOLETRICO PARA EL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS DEPENDIENTES, POR 36 MESES"". PRAIS.";SERVICIO DE REGISTRO DE INFORMACION DE CONTROL DE ASISTENCIA RELOJ CONTROL;1.0;;80729.0;0.0;80729.0
1057532-5435-SE25;1;76121900;Servicios de limpieza industrial / Eliminación y tratamiento de desechos / Eliminación de residuos peligrosos;76121901;Eliminación de residuos médicos;Residuos Peligrosos;Servicio de Manejo, Retiro, Transporte y Disposición Final de Residuos Peligrosos y Especiales para los establecimientos de la Red del Servicio de Salud Osorno;15.0;;1639.0;0.0;24585.0
